Multiplier,WeightedMAE
LUT_AC,	407.2931222
LUT_CR(C.6),	53.97074656
LUT_CR(C.7),	29.09715012
LUT_OU(L.1),	1232.81033
LUT_OU(L.3),	64.38421777
LUT_SDLC,	46.06586351
PCTT_0,	0
PCTT_1,	0.050143251
PCTT_10,	416.8177918
PCTT_11,	750.579271
PCTT_2,	0.235468927
PCTT_3,	0.861237981
PCTT_4,	2.630648395
PCTT_5,	7.202847173
PCTT_6,	18.36255407
PCTT_7,	45.02661134
PCTT_8,	106.6265534
PCTT_9,	217.2859138
