Multiplier,WeightedMAE
mul8u_13QR,774.673
mul8u_150Q,1.26225
mul8u_185Q,25.1747
mul8u_1JFF,0
mul8u_2AC,31.0497
mul8u_E9R,4272.59
mul8u_FTA,127.888
mul8u_LM7,0.179822
mul8u_Y48,0.019084
